checking for RDTSCP instruction...Success.  Using RDTSCP for time
RDTSCP Timing Probe: 2446594491 ticks per second
=== WatchVrf - member-level position telemetry (UNIT_MOVEMENT_RESEARCH plan R3) ===
    federation=CWIX-2024 appNumber=3445 duration=90s sample=10s

[..] bridge.Start() - joining the federation...
Using MAK Technologies' RTI version 4.6.1 HLA 1516-2010 for Microsoft Visual C++ version 14.0 Release Mode.
Connected to RTI Assistant.
Loading Config File: C:\MAK\makRti4.6.1\rid.mtl
INFO[Util] 18:41:17.917 T:71220 MAK::DtInitializer::loadConfigScript: Loading config file: vrfLegion.lua
[OK] joined; discovering + sampling (CSV lines: POS,t,uuid,lat,lon,alt)...
POS,13.1,VRF_UUID:636dd5a8-508a-5e48-a50a-eed77c0948e6,34.647652,-116.693415,1116.7
POS,13.1,VRF_UUID:6768252b-1342-164d-824f-ea87c63c0634,34.612933,-116.600460,1040.6
POS,13.1,VRF_UUID:6c52018d-9369-2b43-bfac-7d359c73c92c,34.648733,-116.693398,1116.7
POS,13.1,VRF_UUID:75a932e0-81c7-644a-8662-d7370242f083,34.648733,-116.693284,1116.6
POS,13.1,VRF_UUID:7ba41c94-0320-224c-9a43-adb387291ec6,0.000000,0.000000,-6378137.0
POS,13.1,VRF_UUID:815afb56-ac06-0048-bdb5-f24bc6444ef6,34.645984,-116.693115,1116.4
POS,13.1,VRF_UUID:85c614e1-e57f-1444-a96f-aacca422922c,0.000000,0.000000,-6378137.0
POS,13.1,VRF_UUID:8871636a-cdc8-334d-adc6-3ebc1bca793f,34.647697,-116.693360,1116.6
POS,13.1,VRF_UUID:8f380016-25a2-f342-9dde-7ea81bbd1f51,0.000000,0.000000,-6378137.0
POS,13.1,VRF_UUID:8fd3983b-d227-704c-a500-a538705d480a,34.646885,-116.693115,1116.4
POS,13.1,VRF_UUID:a21d2a02-8922-d14f-a854-8ab52bee36bc,34.648733,-116.693231,1116.6
POS,13.1,VRF_UUID:a490d99b-f232-9e4c-86be-95d4dcfd2b59,34.647697,-116.693360,1116.6
POS,13.1,VRF_UUID:a92a0bcf-1487-c745-97d7-0df42107dc63,34.647652,-116.693415,1116.7
POS,13.1,VRF_UUID:abbb26d4-e23b-ed47-80e3-bf210462d2ba,34.647606,-116.693360,1116.6
POS,13.1,VRF_UUID:ac1cffba-98d1-f544-b1bf-087248c53070,34.650085,-116.692570,1116.1
POS,13.1,VRF_UUID:b2c35fd2-4e8b-864e-acd0-bce1b550a47c,0.000000,0.000000,-6378137.0
POS,13.1,VRF_UUID:b550d348-7791-124a-9358-398997028cf8,34.647561,-116.693415,1116.7
POS,13.1,VRF_UUID:b9de7e71-0153-2047-b8e5-c19564086b26,34.648733,-116.693338,1116.6
