checking for RDTSCP instruction...Success.  Using RDTSCP for time
RDTSCP Timing Probe: 2434838992 ticks per second
=== WatchVrf - member-level position telemetry (UNIT_MOVEMENT_RESEARCH plan R3) ===
    federation=CWIX-2024 appNumber=3446 duration=300s sample=10s

[..] bridge.Start() - joining the federation...
Using MAK Technologies' RTI version 4.6.1 HLA 1516-2010 for Microsoft Visual C++ version 14.0 Release Mode.
Connected to RTI Assistant.
Loading Config File: C:\MAK\makRti4.6.1\rid.mtl
INFO[Util] 18:45:11.905 T:70128 MAK::DtInitializer::loadConfigScript: Loading config file: vrfLegion.lua
[OK] joined; discovering + sampling (CSV lines: POS,t,uuid,lat,lon,alt)...
POS,33.2,VRF_UUID:3dc9a448-73e8-b346-a178-444fd91b159b,34.647606,-116.693360,1116.6
POS,33.2,VRF_UUID:3e3325d4-60cb-7648-8810-863678a28961,34.652715,-116.693660,1117.0
POS,33.2,VRF_UUID:458c8082-8645-7c40-bc1a-f5eef919ae83,34.612978,-116.592688,1032.2
POS,33.2,VRF_UUID:4d9c6446-013b-b841-91f8-71256dfb25f9,34.612933,-116.592594,1032.1
POS,33.2,VRF_UUID:581ecdf0-5864-694c-845f-5d4abf32050d,34.651073,-116.693660,1116.9
POS,33.2,VRF_UUID:5831f6c4-8239-8645-865d-3d775271baaf,34.647606,-116.693360,1116.6
POS,33.2,VRF_UUID:5cca1bf6-c851-2f4b-b5d9-3899009527ff,NaN,-90.000000,NaN
POS,33.2,VRF_UUID:636dd5a8-508a-5e48-a50a-eed77c0948e6,34.647652,-116.693415,1116.7
POS,33.2,VRF_UUID:6768252b-1342-164d-824f-ea87c63c0634,34.612933,-116.594628,1034.4
POS,33.2,VRF_UUID:6c52018d-9369-2b43-bfac-7d359c73c92c,34.654999,-116.693398,1116.8
POS,33.2,VRF_UUID:75a932e0-81c7-644a-8662-d7370242f083,34.654999,-116.693284,1116.8
POS,33.2,VRF_UUID:7ba41c94-0320-224c-9a43-adb387291ec6,34.647629,-116.693388,1116.7
POS,33.2,VRF_UUID:7d63a852-0238-7240-8c2c-cd6898294491,90.000000,-90.000000,0.0
