checking for RDTSCP instruction...Success.  Using RDTSCP for time
RDTSCP Timing Probe: 2453698573 ticks per second
=== WatchVrf - member-level position telemetry (UNIT_MOVEMENT_RESEARCH plan R3) ===
    federation=CWIX-2024 appNumber=3423 duration=150s sample=15s

[..] bridge.Start() - joining the federation...
Using MAK Technologies' RTI version 4.6.1 HLA 1516-2010 for Microsoft Visual C++ version 14.0 Release Mode.
Connected to RTI Assistant.
Loading Config File: C:\MAK\makRti4.6.1\rid.mtl
INFO[Util] 00:20:06.672 T:60600 MAK::DtInitializer::loadConfigScript: Loading config file: vrfLegion.lua
[OK] joined; discovering + sampling (CSV lines: POS,t,uuid,lat,lon,alt)...
POS,63.2,VRF_UUID:9ecc883d-9021-5945-8683-4695e69226f7,34.608416,-116.712685,1131.4
POS,63.2,VRF_UUID:9f457804-e6f1-3e47-aafe-ba8f1182eb32,34.647697,-116.693360,1116.6
POS,63.2,VRF_UUID:a0331f5d-7b34-c949-92af-650643906795,34.646435,-116.693660,1116.8
POS,63.2,VRF_UUID:a155541b-1b8d-1a48-8def-34a26e6a904a,90.000000,-90.000000,0.0
POS,63.2,VRF_UUID:a91d316e-ee6c-e647-bb22-b471a42a59bb,34.647606,-116.693360,1116.6
POS,63.2,VRF_UUID:ace11e57-cb98-ac48-a893-39a3cb400b1a,34.648770,-116.693410,1116.7
POS,63.2,VRF_UUID:b2784136-bd58-704d-9de3-597b13c12fe7,34.647561,-116.693415,1116.7
POS,63.2,VRF_UUID:c01f43ac-a80a-6f41-b6c5-9b38bec0f7d5,34.648849,-116.693457,1116.7
POS,63.2,VRF_UUID:c2552dad-94d6-ee48-9f77-66c83910facd,34.612977,-116.600651,1040.8
POS,63.2,VRF_UUID:c48156a2-7024-4f44-974b-00705a662ead,34.647697,-116.693360,1116.6
POS,63.2,VRF_UUID:cb727be3-fab9-4442-a369-440c71283d29,34.647606,-116.693360,1116.6
POS,63.2,VRF_UUID:cc825598-7d05-1545-9a00-2d292fe593dc,0.000000,0.000000,-6378137.0
POS,63.2,VRF_UUID:cde66adc-7a34-a14d-bd51-a3df4032e6a1,90.000000,-90.000000,0.0
POS,63.2,VRF_UUID:d3192b7e-5540-e84c-92dd-7c54e43a6e50,34.647561,-116.693415,1116.7
POS,63.2,VRF_UUID:d9afc165-ad77-cb49-956c-1f5e1aa709d0,34.647652,-116.693415,1116.7
POS,63.2,VRF_UUID:e6e9a10c-03cf-ed4d-aee6-406104ff00a2,34.647336,-116.693660,1116.8
POS,63.2,VRF_UUID:e734851b-a27c-6546-af29-4caa51236883,34.645984,-116.693115,1116.4
POS,63.2,VRF_UUID:f0b66f77-7b5c-3942-b07a-c4ab1d3e9fea,0.000000,0.000000,-6378137.0
POS,63.2,VRF_UUID:f864e51f-e571-704f-92e4-108201ec1049,NaN,-90.000000,NaN
